,station,date,param_unit,val,depth,location,agency
2944,CLEAR LK A GLENHAVEN,4/16/51,Water Temperature_deg C,18.5,0,oaks,DWR
3032,CLEAR LK A LAKEPORT,4/16/51,Water Temperature_deg C,19.5,0,upper,DWR
2945,CLEAR LK A GLENHAVEN,5/11/51,Water Temperature_deg C,15,0,oaks,DWR
3033,CLEAR LK A LAKEPORT,5/11/51,Water Temperature_deg C,14.5,0,upper,DWR
2946,CLEAR LK A GLENHAVEN,6/14/51,Water Temperature_deg C,26,0,oaks,DWR
3034,CLEAR LK A LAKEPORT,6/14/51,Water Temperature_deg C,27.5,0,upper,DWR
2947,CLEAR LK A GLENHAVEN,7/13/51,Water Temperature_deg C,23.3,0,oaks,DWR
3035,CLEAR LK A LAKEPORT,7/13/51,Water Temperature_deg C,22.8,0,upper,DWR
2948,CLEAR LK A GLENHAVEN,8/17/51,Water Temperature_deg C,25,0,oaks,DWR
3036,CLEAR LK A LAKEPORT,8/17/51,Water Temperature_deg C,24,0,upper,DWR
2949,CLEAR LK A GLENHAVEN,9/14/51,Water Temperature_deg C,24,0,oaks,DWR
3037,CLEAR LK A LAKEPORT,9/14/51,Water Temperature_deg C,22,0,upper,DWR
2950,CLEAR LK A GLENHAVEN,10/12/51,Water Temperature_deg C,18,0,oaks,DWR
3038,CLEAR LK A LAKEPORT,10/12/51,Water Temperature_deg C,17,0,upper,DWR
2951,CLEAR LK A GLENHAVEN,11/16/51,Water Temperature_deg C,13,0,oaks,DWR
3039,CLEAR LK A LAKEPORT,11/16/51,Water Temperature_deg C,13.5,0,upper,DWR
2952,CLEAR LK A GLENHAVEN,1/10/52,Water Temperature_deg C,6,0,oaks,DWR
3040,CLEAR LK A LAKEPORT,1/10/52,Water Temperature_deg C,5,0,upper,DWR
3041,CLEAR LK A LAKEPORT,2/14/52,Water Temperature_deg C,6.4,0,upper,DWR
2953,CLEAR LK A GLENHAVEN,3/11/52,Water Temperature_deg C,9,0,oaks,DWR
3042,CLEAR LK A LAKEPORT,3/11/52,Water Temperature_deg C,9,0,upper,DWR
3043,CLEAR LK A LAKEPORT,4/9/52,Water Temperature_deg C,11,0,upper,DWR
2954,CLEAR LK A GLENHAVEN,4/10/52,Water Temperature_deg C,10,0,oaks,DWR
2955,CLEAR LK A GLENHAVEN,5/15/52,Water Temperature_deg C,16,0,oaks,DWR
3044,CLEAR LK A LAKEPORT,5/15/52,Water Temperature_deg C,16.5,0,upper,DWR
2956,CLEAR LK A GLENHAVEN,6/13/52,Water Temperature_deg C,14.5,0,oaks,DWR
3045,CLEAR LK A LAKEPORT,6/13/52,Water Temperature_deg C,14.5,0,upper,DWR
2957,CLEAR LK A GLENHAVEN,7/10/52,Water Temperature_deg C,25,0,oaks,DWR
3046,CLEAR LK A LAKEPORT,7/10/52,Water Temperature_deg C,26,0,upper,DWR
2958,CLEAR LK A GLENHAVEN,8/8/52,Water Temperature_deg C,27,0,oaks,DWR
3047,CLEAR LK A LAKEPORT,8/8/52,Water Temperature_deg C,27,0,upper,DWR
2959,CLEAR LK A GLENHAVEN,9/16/52,Water Temperature_deg C,21.5,0,oaks,DWR
3048,CLEAR LK A LAKEPORT,9/16/52,Water Temperature_deg C,22.5,0,upper,DWR
2960,CLEAR LK A GLENHAVEN,10/14/52,Water Temperature_deg C,21,0,oaks,DWR
3049,CLEAR LK A LAKEPORT,10/14/52,Water Temperature_deg C,24,0,upper,DWR
3050,CLEAR LK A LAKEPORT,11/7/52,Water Temperature_deg C,14,0,upper,DWR
2961,CLEAR LK A GLENHAVEN,11/20/52,Water Temperature_deg C,15.6,0,oaks,DWR
2962,CLEAR LK A GLENHAVEN,12/10/52,Water Temperature_deg C,10,0,oaks,DWR
3051,CLEAR LK A LAKEPORT,12/10/52,Water Temperature_deg C,9,0,upper,DWR
2963,CLEAR LK A GLENHAVEN,1/16/53,Water Temperature_deg C,9.5,0,oaks,DWR
3052,CLEAR LK A LAKEPORT,1/16/53,Water Temperature_deg C,10,0,upper,DWR
2964,CLEAR LK A GLENHAVEN,2/20/53,Water Temperature_deg C,9,0,oaks,DWR
3053,CLEAR LK A LAKEPORT,2/20/53,Water Temperature_deg C,10,0,upper,DWR
3054,CLEAR LK A LAKEPORT,3/18/53,Water Temperature_deg C,10.5,0,upper,DWR
2965,CLEAR LK A GLENHAVEN,3/19/53,Water Temperature_deg C,10,0,oaks,DWR
2966,CLEAR LK A GLENHAVEN,4/16/53,Water Temperature_deg C,12.5,0,oaks,DWR
3055,CLEAR LK A LAKEPORT,4/16/53,Water Temperature_deg C,12,0,upper,DWR
2967,CLEAR LK A GLENHAVEN,5/8/53,Water Temperature_deg C,14,0,oaks,DWR
3056,CLEAR LK A LAKEPORT,5/8/53,Water Temperature_deg C,14.5,0,upper,DWR
2968,CLEAR LK A GLENHAVEN,6/16/53,Water Temperature_deg C,18.4,0,oaks,DWR
3057,CLEAR LK A LAKEPORT,6/16/53,Water Temperature_deg C,19.7,0,upper,DWR
2969,CLEAR LK A GLENHAVEN,7/17/53,Water Temperature_deg C,26,0,oaks,DWR
3058,CLEAR LK A LAKEPORT,7/17/53,Water Temperature_deg C,26.5,0,upper,DWR
2970,CLEAR LK A GLENHAVEN,8/13/53,Water Temperature_deg C,28.7,0,oaks,DWR
3059,CLEAR LK A LAKEPORT,8/13/53,Water Temperature_deg C,28,0,upper,DWR
2971,CLEAR LK A GLENHAVEN,9/24/53,Water Temperature_deg C,24,0,oaks,DWR
3060,CLEAR LK A LAKEPORT,9/24/53,Water Temperature_deg C,30,0,upper,DWR
2972,CLEAR LK A GLENHAVEN,10/6/53,Water Temperature_deg C,22,0,oaks,DWR
3061,CLEAR LK A LAKEPORT,10/6/53,Water Temperature_deg C,21,0,upper,DWR
3062,CLEAR LK A LAKEPORT,11/9/53,Water Temperature_deg C,14,0,upper,DWR
2973,CLEAR LK A GLENHAVEN,11/10/53,Water Temperature_deg C,14,0,oaks,DWR
2974,CLEAR LK A GLENHAVEN,12/7/53,Water Temperature_deg C,10,0,oaks,DWR
3063,CLEAR LK A LAKEPORT,12/7/53,Water Temperature_deg C,10,0,upper,DWR
2975,CLEAR LK A GLENHAVEN,1/12/54,Water Temperature_deg C,10.56,0,oaks,DWR
3064,CLEAR LK A LAKEPORT,1/13/54,Water Temperature_deg C,7.8,0,upper,DWR
2976,CLEAR LK A GLENHAVEN,2/9/54,Water Temperature_deg C,10.56,0,oaks,DWR
3065,CLEAR LK A LAKEPORT,2/9/54,Water Temperature_deg C,13.9,0,upper,DWR
3066,CLEAR LK A LAKEPORT,3/8/54,Water Temperature_deg C,11.7,0,upper,DWR
2977,CLEAR LK A GLENHAVEN,3/9/54,Water Temperature_deg C,11.67,0,oaks,DWR
2978,CLEAR LK A GLENHAVEN,4/20/54,Water Temperature_deg C,20,0,oaks,DWR
3067,CLEAR LK A LAKEPORT,4/20/54,Water Temperature_deg C,20.6,0,upper,DWR
2979,CLEAR LK A GLENHAVEN,5/12/54,Water Temperature_deg C,20,0,oaks,DWR
3068,CLEAR LK A LAKEPORT,5/12/54,Water Temperature_deg C,20.6,0,upper,DWR
2980,CLEAR LK A GLENHAVEN,6/10/54,Water Temperature_deg C,18.89,0,oaks,DWR
3069,CLEAR LK A LAKEPORT,6/10/54,Water Temperature_deg C,18.3,0,upper,DWR
2981,CLEAR LK A GLENHAVEN,7/12/54,Water Temperature_deg C,26.11,0,oaks,DWR
3070,CLEAR LK A LAKEPORT,7/12/54,Water Temperature_deg C,26.1,0,upper,DWR
2982,CLEAR LK A GLENHAVEN,9/21/54,Water Temperature_deg C,22.22,0,oaks,DWR
3071,CLEAR LK A LAKEPORT,9/21/54,Water Temperature_deg C,22.8,0,upper,DWR
3072,CLEAR LK A LAKEPORT,10/18/54,Water Temperature_deg C,18.5,0,upper,DWR
2983,CLEAR LK A GLENHAVEN,10/19/54,Water Temperature_deg C,17,0,oaks,DWR
2984,CLEAR LK A GLENHAVEN,11/16/54,Water Temperature_deg C,13.5,0,oaks,DWR
3073,CLEAR LK A LAKEPORT,11/16/54,Water Temperature_deg C,13,0,upper,DWR
2985,CLEAR LK A GLENHAVEN,12/14/54,Water Temperature_deg C,9,0,oaks,DWR
3074,CLEAR LK A LAKEPORT,12/14/54,Water Temperature_deg C,7.5,0,upper,DWR
2986,CLEAR LK A GLENHAVEN,1/12/55,Water Temperature_deg C,7,0,oaks,DWR
3075,CLEAR LK A LAKEPORT,1/12/55,Water Temperature_deg C,7,0,upper,DWR
2987,CLEAR LK A GLENHAVEN,2/9/55,Water Temperature_deg C,8.89,0,oaks,DWR
3076,CLEAR LK A LAKEPORT,2/9/55,Water Temperature_deg C,10,0,upper,DWR
2988,CLEAR LK A GLENHAVEN,3/9/55,Water Temperature_deg C,8.89,0,oaks,DWR
3077,CLEAR LK A LAKEPORT,3/9/55,Water Temperature_deg C,10,0,upper,DWR
2989,CLEAR LK A GLENHAVEN,4/6/55,Water Temperature_deg C,11.11,0,oaks,DWR
3078,CLEAR LK A LAKEPORT,4/6/55,Water Temperature_deg C,13.3,0,upper,DWR
2990,CLEAR LK A GLENHAVEN,5/17/55,Water Temperature_deg C,17.22,0,oaks,DWR
3079,CLEAR LK A LAKEPORT,5/17/55,Water Temperature_deg C,18.9,0,upper,DWR
2991,CLEAR LK A GLENHAVEN,6/21/55,Water Temperature_deg C,22.78,0,oaks,DWR
3080,CLEAR LK A LAKEPORT,6/21/55,Water Temperature_deg C,24.4,0,upper,DWR
2992,CLEAR LK A GLENHAVEN,7/19/55,Water Temperature_deg C,25.56,0,oaks,DWR
3081,CLEAR LK A LAKEPORT,7/19/55,Water Temperature_deg C,26.7,0,upper,DWR
2993,CLEAR LK A GLENHAVEN,8/23/55,Water Temperature_deg C,26.11,0,oaks,DWR
3082,CLEAR LK A LAKEPORT,8/23/55,Water Temperature_deg C,28.3,0,upper,DWR
2994,CLEAR LK A GLENHAVEN,9/20/55,Water Temperature_deg C,22.22,0,oaks,DWR
3083,CLEAR LK A LAKEPORT,9/20/55,Water Temperature_deg C,24.4,0,upper,DWR
2995,CLEAR LK A GLENHAVEN,10/18/55,Water Temperature_deg C,17.78,0,oaks,DWR
3084,CLEAR LK A LAKEPORT,10/18/55,Water Temperature_deg C,17.2,0,upper,DWR
2996,CLEAR LK A GLENHAVEN,11/21/55,Water Temperature_deg C,11.67,0,oaks,DWR
3085,CLEAR LK A LAKEPORT,11/21/55,Water Temperature_deg C,10.6,0,upper,DWR
2997,CLEAR LK A GLENHAVEN,12/12/55,Water Temperature_deg C,10.56,0,oaks,DWR
3086,CLEAR LK A LAKEPORT,12/12/55,Water Temperature_deg C,10.6,0,upper,DWR
2998,CLEAR LK A GLENHAVEN,1/19/56,Water Temperature_deg C,10,0,oaks,DWR
3087,CLEAR LK A LAKEPORT,1/19/56,Water Temperature_deg C,9.4,0,upper,DWR
2999,CLEAR LK A GLENHAVEN,2/9/56,Water Temperature_deg C,8.89,0,oaks,DWR
3088,CLEAR LK A LAKEPORT,2/9/56,Water Temperature_deg C,8.9,0,upper,DWR
3000,CLEAR LK A GLENHAVEN,3/14/56,Water Temperature_deg C,14.44,0,oaks,DWR
3089,CLEAR LK A LAKEPORT,3/14/56,Water Temperature_deg C,13.3,0,upper,DWR
3001,CLEAR LK A GLENHAVEN,4/11/56,Water Temperature_deg C,13.33,0,oaks,DWR
3090,CLEAR LK A LAKEPORT,4/11/56,Water Temperature_deg C,11.1,0,upper,DWR
3002,CLEAR LK A GLENHAVEN,5/15/56,Water Temperature_deg C,16.67,0,oaks,DWR
3091,CLEAR LK A LAKEPORT,5/15/56,Water Temperature_deg C,18.9,0,upper,DWR
3003,CLEAR LK A GLENHAVEN,6/19/56,Water Temperature_deg C,20,0,oaks,DWR
3092,CLEAR LK A LAKEPORT,6/19/56,Water Temperature_deg C,22.2,0,upper,DWR
3004,CLEAR LK A GLENHAVEN,7/24/56,Water Temperature_deg C,26.67,0,oaks,DWR
3093,CLEAR LK A LAKEPORT,7/24/56,Water Temperature_deg C,25.6,0,upper,DWR
3005,CLEAR LK A GLENHAVEN,8/21/56,Water Temperature_deg C,26.67,0,oaks,DWR
3094,CLEAR LK A LAKEPORT,8/21/56,Water Temperature_deg C,26.7,0,upper,DWR
3006,CLEAR LK A GLENHAVEN,9/12/56,Water Temperature_deg C,21.11,0,oaks,DWR
3095,CLEAR LK A LAKEPORT,9/12/56,Water Temperature_deg C,21.7,0,upper,DWR
3007,CLEAR LK A GLENHAVEN,10/26/56,Water Temperature_deg C,15,0,oaks,DWR
3096,CLEAR LK A LAKEPORT,10/26/56,Water Temperature_deg C,14.4,0,upper,DWR
3008,CLEAR LK A GLENHAVEN,11/14/56,Water Temperature_deg C,13.33,0,oaks,DWR
3097,CLEAR LK A LAKEPORT,11/14/56,Water Temperature_deg C,13.3,0,upper,DWR
3009,CLEAR LK A GLENHAVEN,12/13/56,Water Temperature_deg C,9.44,0,oaks,DWR
3098,CLEAR LK A LAKEPORT,12/13/56,Water Temperature_deg C,8.9,0,upper,DWR
3010,CLEAR LK A GLENHAVEN,1/15/57,Water Temperature_deg C,7.22,0,oaks,DWR
3099,CLEAR LK A LAKEPORT,1/15/57,Water Temperature_deg C,7.2,0,upper,DWR
3011,CLEAR LK A GLENHAVEN,2/14/57,Water Temperature_deg C,10,0,oaks,DWR
3100,CLEAR LK A LAKEPORT,2/19/57,Water Temperature_deg C,11.1,0,upper,DWR
3012,CLEAR LK A GLENHAVEN,3/13/57,Water Temperature_deg C,11.11,0,oaks,DWR
3101,CLEAR LK A LAKEPORT,3/14/57,Water Temperature_deg C,10.6,0,upper,DWR
3013,CLEAR LK A GLENHAVEN,4/16/57,Water Temperature_deg C,13.89,0,oaks,DWR
3102,CLEAR LK A LAKEPORT,4/16/57,Water Temperature_deg C,13.9,0,upper,DWR
3014,CLEAR LK A GLENHAVEN,5/13/57,Water Temperature_deg C,17.22,0,oaks,DWR
3103,CLEAR LK A LAKEPORT,5/14/57,Water Temperature_deg C,15,0,upper,DWR
3015,CLEAR LK A GLENHAVEN,6/21/57,Water Temperature_deg C,20.56,0,oaks,DWR
3104,CLEAR LK A LAKEPORT,6/21/57,Water Temperature_deg C,20,0,upper,DWR
3016,CLEAR LK A GLENHAVEN,7/15/57,Water Temperature_deg C,25,0,oaks,DWR
3105,CLEAR LK A LAKEPORT,7/15/57,Water Temperature_deg C,26.7,0,upper,DWR
3017,CLEAR LK A GLENHAVEN,8/20/57,Water Temperature_deg C,23.89,0,oaks,DWR
3106,CLEAR LK A LAKEPORT,8/20/57,Water Temperature_deg C,23.9,0,upper,DWR
3018,CLEAR LK A GLENHAVEN,9/11/57,Water Temperature_deg C,25,0,oaks,DWR
3107,CLEAR LK A LAKEPORT,9/11/57,Water Temperature_deg C,25.6,0,upper,DWR
3019,CLEAR LK A GLENHAVEN,10/16/57,Water Temperature_deg C,16.67,0,oaks,DWR
3108,CLEAR LK A LAKEPORT,10/16/57,Water Temperature_deg C,15.6,0,upper,DWR
3020,CLEAR LK A GLENHAVEN,11/19/57,Water Temperature_deg C,12.78,0,oaks,DWR
3109,CLEAR LK A LAKEPORT,11/19/57,Water Temperature_deg C,12.2,0,upper,DWR
3021,CLEAR LK A GLENHAVEN,12/18/57,Water Temperature_deg C,10,0,oaks,DWR
3110,CLEAR LK A LAKEPORT,12/18/57,Water Temperature_deg C,9.4,0,upper,DWR
3022,CLEAR LK A GLENHAVEN,1/22/58,Water Temperature_deg C,9.44,0,oaks,DWR
3111,CLEAR LK A LAKEPORT,1/22/58,Water Temperature_deg C,9.4,0,upper,DWR
3023,CLEAR LK A GLENHAVEN,2/20/58,Water Temperature_deg C,12.22,0,oaks,DWR
3112,CLEAR LK A LAKEPORT,2/21/58,Water Temperature_deg C,11.7,0,upper,DWR
3024,CLEAR LK A GLENHAVEN,3/11/58,Water Temperature_deg C,12.22,0,oaks,DWR
3113,CLEAR LK A LAKEPORT,3/11/58,Water Temperature_deg C,12.2,0,upper,DWR
3025,CLEAR LK A GLENHAVEN,4/15/58,Water Temperature_deg C,15,0,oaks,DWR
3114,CLEAR LK A LAKEPORT,4/15/58,Water Temperature_deg C,19.4,0,upper,DWR
3026,CLEAR LK A GLENHAVEN,5/14/58,Water Temperature_deg C,20.56,0,oaks,DWR
3115,CLEAR LK A LAKEPORT,5/14/58,Water Temperature_deg C,21.1,0,upper,DWR
3027,CLEAR LK A GLENHAVEN,6/17/58,Water Temperature_deg C,25,0,oaks,DWR
3116,CLEAR LK A LAKEPORT,6/17/58,Water Temperature_deg C,23.3,0,upper,DWR
3028,CLEAR LK A GLENHAVEN,7/11/58,Water Temperature_deg C,28.89,0,oaks,DWR
3117,CLEAR LK A LAKEPORT,7/11/58,Water Temperature_deg C,28.9,0,upper,DWR
3029,CLEAR LK A GLENHAVEN,8/11/58,Water Temperature_deg C,26.67,0,oaks,DWR
3118,CLEAR LK A LAKEPORT,8/11/58,Water Temperature_deg C,26.7,0,upper,DWR
3030,CLEAR LK A GLENHAVEN,9/11/58,Water Temperature_deg C,22.78,0,oaks,DWR
3119,CLEAR LK A LAKEPORT,9/11/58,Water Temperature_deg C,22.2,0,upper,DWR
3031,CLEAR LK A GLENHAVEN,10/20/58,Water Temperature_deg C,20.56,0,oaks,DWR
3120,CLEAR LK A LAKEPORT,10/20/58,Water Temperature_deg C,20.6,0,upper,DWR
3121,CLEAR LK A LAKEPORT,11/13/58,Water Temperature_deg C,14.4,0,upper,DWR
3122,CLEAR LK A LAKEPORT,12/4/58,Water Temperature_deg C,13.3,0,upper,DWR
3123,CLEAR LK A LAKEPORT,1/6/59,Water Temperature_deg C,7.2,0,upper,DWR
3124,CLEAR LK A LAKEPORT,2/6/59,Water Temperature_deg C,11.1,0,upper,DWR
3125,CLEAR LK A LAKEPORT,3/9/59,Water Temperature_deg C,12.2,0,upper,DWR
3126,CLEAR LK A LAKEPORT,4/2/59,Water Temperature_deg C,17.8,0,upper,DWR
3127,CLEAR LK A LAKEPORT,5/13/59,Water Temperature_deg C,17.8,0,upper,DWR
3128,CLEAR LK A LAKEPORT,6/10/59,Water Temperature_deg C,23.9,0,upper,DWR
3129,CLEAR LK A LAKEPORT,7/1/59,Water Temperature_deg C,25,0,upper,DWR
3130,CLEAR LK A LAKEPORT,8/13/59,Water Temperature_deg C,25,0,upper,DWR
3131,CLEAR LK A LAKEPORT,9/3/59,Water Temperature_deg C,25.6,0,upper,DWR
3132,CLEAR LK A LAKEPORT,10/14/59,Water Temperature_deg C,23.3,0,upper,DWR
3133,CLEAR LK A LAKEPORT,11/4/59,Water Temperature_deg C,16.7,0,upper,DWR
3134,CLEAR LK A LAKEPORT,12/3/59,Water Temperature_deg C,11.1,0,upper,DWR
3135,CLEAR LK A LAKEPORT,1/13/60,Water Temperature_deg C,7.2,0,upper,DWR
3136,CLEAR LK A LAKEPORT,2/3/60,Water Temperature_deg C,8.3,0,upper,DWR
3137,CLEAR LK A LAKEPORT,3/10/60,Water Temperature_deg C,12.2,0,upper,DWR
3138,CLEAR LK A LAKEPORT,4/14/60,Water Temperature_deg C,14.4,0,upper,DWR
3139,CLEAR LK A LAKEPORT,5/10/60,Water Temperature_deg C,22.2,0,upper,DWR
3140,CLEAR LK A LAKEPORT,6/14/60,Water Temperature_deg C,27.8,0,upper,DWR
3141,CLEAR LK A LAKEPORT,7/13/60,Water Temperature_deg C,26.1,0,upper,DWR
3142,CLEAR LK A LAKEPORT,8/4/60,Water Temperature_deg C,26.1,0,upper,DWR
6591,VC.3.5,8/10/60,Water Temperature_deg C,25.4,0.6,upper,Vector control
6592,VC.3.5,8/10/60,Water Temperature_deg C,24.6,1.2,upper,Vector control
6593,VC.3.5,8/10/60,Water Temperature_deg C,24.5,1.8,upper,Vector control
6594,VC.3.5,8/10/60,Water Temperature_deg C,24.4,2.4,upper,Vector control
6595,VC.3.5,8/10/60,Water Temperature_deg C,24.3,3,upper,Vector control
6596,VC.3.5,8/10/60,Water Temperature_deg C,24.3,3.6,upper,Vector control
6597,VC.3.5,8/10/60,Water Temperature_deg C,24.2,4.2,upper,Vector control
6598,VC.3.5,8/10/60,Water Temperature_deg C,24.1,4.8,upper,Vector control
6599,VC.3.5,8/10/60,Water Temperature_deg C,23.8,5.4,upper,Vector control
6600,VC.3.5,8/10/60,Water Temperature_deg C,23.2,6,upper,Vector control
6601,VC.4.9,8/10/60,Water Temperature_deg C,25.2,0.6,oaks,Vector control
6602,VC.4.9,8/10/60,Water Temperature_deg C,24.8,1.2,oaks,Vector control
6603,VC.4.9,8/10/60,Water Temperature_deg C,24.5,1.8,oaks,Vector control
6604,VC.4.9,8/10/60,Water Temperature_deg C,24.2,2.4,oaks,Vector control
6605,VC.4.9,8/10/60,Water Temperature_deg C,24.2,3,oaks,Vector control
6606,VC.4.9,8/10/60,Water Temperature_deg C,24.1,3.6,oaks,Vector control
6607,VC.4.9,8/10/60,Water Temperature_deg C,24,4.2,oaks,Vector control
6608,VC.4.9,8/10/60,Water Temperature_deg C,24,4.8,oaks,Vector control
6609,VC.4.9,8/10/60,Water Temperature_deg C,24,5.4,oaks,Vector control
6610,VC.4.9,8/10/60,Water Temperature_deg C,24,6,oaks,Vector control
6611,VC.4.9,8/10/60,Water Temperature_deg C,24,6.7,oaks,Vector control
6612,VC.4.9,8/10/60,Water Temperature_deg C,23.9,7.3,oaks,Vector control
6613,VC.4.9,8/10/60,Water Temperature_deg C,23.9,7.9,oaks,Vector control
6614,VC.4.9,8/10/60,Water Temperature_deg C,23.9,8.5,oaks,Vector control
6615,VC.4.9,8/10/60,Water Temperature_deg C,23.9,9.1,oaks,Vector control
6616,VC.4.9,8/10/60,Water Temperature_deg C,23.9,9.7,oaks,Vector control
6617,VC.4.9,8/10/60,Water Temperature_deg C,23.9,10.3,oaks,Vector control
6618,VC.4.9,8/10/60,Water Temperature_deg C,23.8,10.9,oaks,Vector control
6619,VC.4.9,8/10/60,Water Temperature_deg C,23.5,11.5,oaks,Vector control
6620,VC.4.9,8/10/60,Water Temperature_deg C,21.8,12.1,oaks,Vector control
6621,VC.4.9,8/10/60,Water Temperature_deg C,20.1,12.8,oaks,Vector control
6622,VC.5.13,8/11/60,Water Temperature_deg C,25.2,0.6,lower,Vector control
6623,VC.5.13,8/11/60,Water Temperature_deg C,24.6,1.2,lower,Vector control
6624,VC.5.13,8/11/60,Water Temperature_deg C,24.3,1.8,lower,Vector control
6625,VC.5.13,8/11/60,Water Temperature_deg C,24.2,2.4,lower,Vector control
6626,VC.5.13,8/11/60,Water Temperature_deg C,24,3,lower,Vector control
6627,VC.5.13,8/11/60,Water Temperature_deg C,24,3.6,lower,Vector control
6628,VC.5.13,8/11/60,Water Temperature_deg C,24,4.2,lower,Vector control
6629,VC.5.13,8/11/60,Water Temperature_deg C,23.9,4.8,lower,Vector control
6630,VC.5.13,8/11/60,Water Temperature_deg C,23.8,5.4,lower,Vector control
6631,VC.5.13,8/11/60,Water Temperature_deg C,23.8,6,lower,Vector control
6632,VC.5.13,8/11/60,Water Temperature_deg C,23.8,6.7,lower,Vector control
6633,VC.5.13,8/11/60,Water Temperature_deg C,23.7,7.3,lower,Vector control
6634,VC.5.13,8/11/60,Water Temperature_deg C,23.7,7.9,lower,Vector control
6635,VC.5.13,8/11/60,Water Temperature_deg C,23.7,8.5,lower,Vector control
6636,VC.5.13,8/11/60,Water Temperature_deg C,23.7,9.1,lower,Vector control
6637,VC.5.13,8/11/60,Water Temperature_deg C,23.6,9.7,lower,Vector control
6638,VC.5.13,8/11/60,Water Temperature_deg C,23.6,10.3,lower,Vector control
6639,VC.5.13,8/11/60,Water Temperature_deg C,23.5,10.9,lower,Vector control
6640,VC.5.13,8/11/60,Water Temperature_deg C,23.4,11.5,lower,Vector control
6641,VC.5.13,8/11/60,Water Temperature_deg C,23.3,12.1,lower,Vector control
6642,VC.5.13,8/11/60,Water Temperature_deg C,23.2,12.8,lower,Vector control
6643,VC.5.13,8/11/60,Water Temperature_deg C,22,13.4,lower,Vector control
6644,VC.5.13,8/11/60,Water Temperature_deg C,19.8,14,lower,Vector control
6645,VC.5.13,8/11/60,Water Temperature_deg C,19,14.6,lower,Vector control
6646,VC.3.5,9/6/60,Water Temperature_deg C,22.5,0,upper,Vector control
6647,VC.3.5,9/6/60,Water Temperature_deg C,22.5,0.6,upper,Vector control
6648,VC.3.5,9/6/60,Water Temperature_deg C,21.3,1.2,upper,Vector control
6649,VC.3.5,9/6/60,Water Temperature_deg C,21.1,1.8,upper,Vector control
6650,VC.3.5,9/6/60,Water Temperature_deg C,21.1,2.4,upper,Vector control
6651,VC.3.5,9/6/60,Water Temperature_deg C,21.1,3,upper,Vector control
6652,VC.3.5,9/6/60,Water Temperature_deg C,21,3.6,upper,Vector control
6653,VC.3.5,9/6/60,Water Temperature_deg C,20.9,4.2,upper,Vector control
6654,VC.3.5,9/6/60,Water Temperature_deg C,20.5,4.8,upper,Vector control
6655,VC.3.5,9/6/60,Water Temperature_deg C,20.5,5.4,upper,Vector control
6656,VC.4.9,9/6/60,Water Temperature_deg C,21.7,0,oaks,Vector control
6657,VC.4.9,9/6/60,Water Temperature_deg C,21.7,0.6,oaks,Vector control
6658,VC.4.9,9/6/60,Water Temperature_deg C,21.5,1.2,oaks,Vector control
6659,VC.4.9,9/6/60,Water Temperature_deg C,21.4,1.8,oaks,Vector control
6660,VC.4.9,9/6/60,Water Temperature_deg C,21.3,2.4,oaks,Vector control
6661,VC.4.9,9/6/60,Water Temperature_deg C,21.2,3,oaks,Vector control
6662,VC.4.9,9/6/60,Water Temperature_deg C,21.1,3.6,oaks,Vector control
6663,VC.4.9,9/6/60,Water Temperature_deg C,21,4.2,oaks,Vector control
6664,VC.4.9,9/6/60,Water Temperature_deg C,20.9,4.8,oaks,Vector control
6665,VC.4.9,9/6/60,Water Temperature_deg C,20.8,5.4,oaks,Vector control
6666,VC.4.9,9/6/60,Water Temperature_deg C,20.7,6,oaks,Vector control
6667,VC.4.9,9/6/60,Water Temperature_deg C,20.7,6.7,oaks,Vector control
6668,VC.4.9,9/6/60,Water Temperature_deg C,20.7,7.3,oaks,Vector control
6669,VC.4.9,9/6/60,Water Temperature_deg C,20.6,7.9,oaks,Vector control
6670,VC.4.9,9/6/60,Water Temperature_deg C,20.6,8.5,oaks,Vector control
6671,VC.4.9,9/6/60,Water Temperature_deg C,20.6,9.1,oaks,Vector control
6672,VC.4.9,9/6/60,Water Temperature_deg C,20.5,9.7,oaks,Vector control
6673,VC.4.9,9/6/60,Water Temperature_deg C,20.5,10.3,oaks,Vector control
6674,VC.4.9,9/6/60,Water Temperature_deg C,20.5,10.9,oaks,Vector control
6675,VC.4.9,9/6/60,Water Temperature_deg C,20.4,11.5,oaks,Vector control
6676,VC.4.9,9/6/60,Water Temperature_deg C,20.4,12.1,oaks,Vector control
6677,VC.5.13,9/7/60,Water Temperature_deg C,23.2,0,lower,Vector control
6678,VC.5.13,9/7/60,Water Temperature_deg C,23.2,0.6,lower,Vector control
6679,VC.5.13,9/7/60,Water Temperature_deg C,21.4,1.2,lower,Vector control
6680,VC.5.13,9/7/60,Water Temperature_deg C,21,1.8,lower,Vector control
6681,VC.5.13,9/7/60,Water Temperature_deg C,20.8,2.4,lower,Vector control
6682,VC.5.13,9/7/60,Water Temperature_deg C,20.8,3,lower,Vector control
6683,VC.5.13,9/7/60,Water Temperature_deg C,20.8,3.6,lower,Vector control
6684,VC.5.13,9/7/60,Water Temperature_deg C,20.7,4.2,lower,Vector control
6685,VC.5.13,9/7/60,Water Temperature_deg C,20.7,4.8,lower,Vector control
6686,VC.5.13,9/7/60,Water Temperature_deg C,20.7,5.4,lower,Vector control
6687,VC.5.13,9/7/60,Water Temperature_deg C,20.7,6,lower,Vector control
